sell_type,cust_type,prod_group_type,prod_type,time_type,model,rmse,scenario,smoothing
sell_in,A,g1,가,W,var,9243,s2,True
sell_in,A,g2,다,W,var,15670,s2,True
sell_in,A,all,가,W,var,9243,s2,True
sell_in,A,all,다,W,var,15670,s2,True
sell_in,A,all,all,W,var,20318,s2,True
sell_in,B,g1,나,W,var,2287,s2,True
sell_in,B,g2,라,W,var,738,s2,True
sell_in,B,all,나,W,var,2287,s2,True
sell_in,B,all,라,W,var,738,s2,True
sell_in,B,all,all,W,var,2401,s2,True
sell_in,C,g1,나,W,var,1265,s2,True
sell_in,C,g3,마,W,var,12324,s2,True
sell_in,C,all,나,W,var,1265,s2,True
sell_in,C,all,마,W,var,12324,s2,True
sell_in,C,all,all,W,var,12591,s2,True
sell_in,all,g1,가,W,var,9243,s2,True
sell_in,all,g1,나,W,var,3075,s2,True
sell_in,all,g1,all,W,var,9519,s2,True
sell_in,all,g2,다,W,var,15670,s2,True
sell_in,all,g2,라,W,var,738,s2,True
sell_in,all,g2,all,W,var,16189,s2,True
sell_in,all,g3,마,W,var,12324,s2,True
sell_in,all,all,가,W,var,9243,s2,True
sell_in,all,all,다,W,var,15670,s2,True
sell_in,all,all,나,W,var,3075,s2,True
sell_in,all,all,라,W,var,738,s2,True
sell_in,all,all,마,W,var,12324,s2,True
sell_in,all,all,all,W,var,28818,s2,True
sell_out,A,g3,바,W,var,2023,s2,True
sell_out,A,g1,가,W,var,1318,s2,True
sell_out,A,g2,다,W,var,13249,s2,True
sell_out,A,all,바,W,var,2023,s2,True
sell_out,A,all,가,W,var,1318,s2,True
sell_out,A,all,다,W,var,13249,s2,True
sell_out,A,all,all,W,var,13608,s2,True
sell_out,B,g3,바,W,var,1119,s2,True
sell_out,B,g1,나,W,var,2719,s2,True
sell_out,B,g2,라,W,var,876,s2,True
sell_out,B,all,바,W,var,1119,s2,True
sell_out,B,all,나,W,var,2719,s2,True
sell_out,B,all,라,W,var,876,s2,True
sell_out,B,all,all,W,var,3335,s2,True
sell_out,C,g3,바,W,var,1091,s2,True
sell_out,C,g3,마,W,var,31815,s2,True
sell_out,C,g3,all,W,var,32718,s2,True
sell_out,C,g1,나,W,var,2050,s2,True
sell_out,C,all,바,W,var,1091,s2,True
sell_out,C,all,나,W,var,2050,s2,True
sell_out,C,all,마,W,var,31815,s2,True
sell_out,C,all,all,W,var,35186,s2,True
sell_out,all,g3,바,W,var,3378,s2,True
sell_out,all,g3,마,W,var,31815,s2,True
sell_out,all,g3,all,W,var,35576,s2,True
sell_out,all,g1,가,W,var,1318,s2,True
sell_out,all,g1,나,W,var,3897,s2,True
sell_out,all,g1,all,W,var,4902,s2,True
sell_out,all,g2,다,W,var,13249,s2,True
sell_out,all,g2,라,W,var,876,s2,True
sell_out,all,g2,all,W,var,13691,s2,True
sell_out,all,all,바,W,var,3378,s2,True
sell_out,all,all,가,W,var,1318,s2,True
sell_out,all,all,다,W,var,13249,s2,True
sell_out,all,all,나,W,var,3897,s2,True
sell_out,all,all,라,W,var,876,s2,True
sell_out,all,all,마,W,var,31815,s2,True
sell_out,all,all,all,W,var,48687,s2,True
